Joissakin järjestelmissä ( 	nordea 	) kerran käytettyä tunnusta ei voi käyttää toista kertaa , jolloin kertaalleen käytetyn tunnuksen saaminen selville ei mahdollista mitään rikosta . 
b ) muista ettei pankki koskaan kysy kirjautumistietojasi sähköpostissa tai satunnaisella verkkosivustolla c ) jos epäilet olevasi väärällä sivulla , muista katsoa selaimen osoiteriviä ( pitäisi alkaa https : // ( huomaa s ) ja että sen perässä oleva osoite on sen pankin oikea osoite , johon olit menossa ( ei esimerkiksi nourdea tai nurdea , eikä 	nordea 	, 
Ainakin 	Nordeassa 	näyttää olevan lisäksi toinen salasana . 
	Nordean 	mukaan viiveet maksuliikenteessä johtuivat eurooppalaisen SEPA-järjestelmän häiriöstä . 
Vajaa 2-kuukautta sitten kysyin S-pankista ja 	Nordeasta 	lainaa ja kummassakin ASO-soppari kävi vakuudeksi lainalle eikä muita vakuuksia kyselty . 
itse kysyin 100000€ lainaa op ja 	nordeasta 	minulla takaajat ja muutama tonni omaa rahaa , työt juuri samaan aikaan loppui niin op heti ilmoitettiin kun ei ole vakituisia tuloja ei voi saada lainaa , nordeasta sama tilanne ilman vakituisia tuloja he eivät voi riskeerata antamalla lainaa ja lopuksi ilmoittivat että jos työtilanne paranee niin tottakai he antavat siinä tapauksessa . 
itse kysyin 100000€ lainaa op ja nordeasta minulla takaajat ja muutama tonni omaa rahaa , työt juuri samaan aikaan loppui niin op heti ilmoitettiin kun ei ole vakituisia tuloja ei voi saada lainaa , 	nordeasta 	sama tilanne ilman vakituisia tuloja he eivät voi riskeerata antamalla lainaa ja lopuksi ilmoittivat että jos työtilanne paranee niin tottakai he antavat siinä tapauksessa . 
	Nordeasta 	en saanut edes muutaman kuukauden lykkäystä opintolainalle koska olin työtön . 
Ratkaisusi voisi olla osaomistusasunto jos kunnassasi on sellaisia tarjolla tai joskus pankit ( 	Nordea 	) on tarjonnut vähän samanlaista rahoitusmallia . 
En tiedä oliko 	Nordeasta 	kyse mutta sieltä ei antanut mitään mallia . 
Juuri 	Nordeasta 	on kyse . 
Hän oli alunpitäen PYP:in asiakas , mutta silloin joskus kun monet pankit fuusioituivat , hänestä tuli KOP:in , sitten Meritan ja viimeiseksi 	Nordean 	asiakas . 
Mutta LÄHETYSSAARNAAJA lainaa 	Nordea 	PLC . 
LÄHETYSSAARNAAJA lainaa 	Nordea 	PLC . 
Siellä pääoman vienti on jo kannattavinta vientiä , sanoo Sammon , 	Nordean 	ja UPM : n hallitusten puheenjohtaja Björn Wahlroos . 
Altor jättää Relacomin pankeille 	NORDEA 	: ”Vaihtoehtona olisi ollut konkurssi” Harald Mix heittää pyyhkeen kehään kun asennusyhtiö Relacom tarvitsee jälleen kerran uutta pääomaa , on epäselvää kuinka paljon rahaa Altor menetti Relacomiin . 
Olemme päässeet sopimukseen Altorin kanssa ja tämä on kaikkien osapuolien mielestä paras ratkaisu sanoi Rodney Alfvén IR johtaja 	Nordeassa 	, 
Käytännössä tämä tarkoittaa , että 	Nordea 	, DnB NOR ja HSH Nordbank ovat uusia omistajia ja samalla kohentavat yhtiön likviditeettiä . 
	Nordea 	ei laita aikarajaa omistukselleen - Olemme vakavarainen omistaja ja otamme Relacomin omistukseemme . 
	Nordeassa 	tilejään pitävän kannattaa miettiä että ko. pankki pitää pystyssä tuota Relacomia , tiedossa Nordealle muhkeat luottotappiot jos Relacom kaatuu 
Nordeassa tilejään pitävän kannattaa miettiä että ko. pankki pitää pystyssä tuota Relacomia , tiedossa 	Nordealle 	muhkeat luottotappiot jos Relacom kaatuu 
Omistusosuus jakautuu seuraavasti 	Nordea 	omistaa 48 prosenttia yhtiöstä DnB Nor 31 prosenttia ja HSH Nordbank 21 prosenttia . 
Lue koko uutinen ( Talouselämä ) " Venäjän ongelmat ovat omaa luokkaansa ja ruplan vakautumista on turha odottaa ennen kuin öljyn hinta on löytänyt pohjat " , kirjoittaa 	Nordean 	analyytikko Sanna Kurronen . 
Lue koko uutinen ( Arvopaperi ) Dollarin ja ruplan voimakkaat liikkeet tekevät tammikuussa käynnistyvästä tuloskaudesta poikkeuksellisen mielenkiintoisen " , kirjoittaa 	Nordea 	, 
1.3200netto töissä 10v samassa paikkaa 2.0e velkaa 3.8000e 4.sain 0e 5.3päivää luottotiedot kunnossa 	nordea 	antoin 12000e lainaa heti 
	Nordea 	saat heti jos asias on kunnossa . 
S-pankki ei antanut 4500 kodinkoneisiin , 	Nordea 	antoi parissa päivässä , luottotiedot kunnossa . 
	Nordean 	asiakkaat ei näköjään saa S-Pankista lainoitusta jos ei oo keskittänyt asioitaan S- ryhmään . 
Minulle ja miehelleni tarjottiin 	nordeasta 	60 tuhatta ASUNTOLAINAA ( PK seudulla moisella rahalla kun ei saa edes ikkunaa ) . 
Sanoin useampaan pankkiin että tuossa on 12 000e kouraan koska 	nordealta 	kuulema omarahoitus onnistuisi . 
Tämäon hyvä ratkaisu eteenkin ellei ole perillisiä joille rahaa pitää laittaa syrjään Ainakin Danske , 	Nordea 	, OP , Hypopankki myöntää käänteisiä lainoja 
Ainakin 	Nordealla 	on oma osuus oltava 25 % kiinteä vakuus toisin on Handelsbankenilla ja Ålandsbankenilla jossa vakuus on 30 % talletusvakuus . 
Sinä tarvitset lainallesi takaajan koska esim. 	Nordealla 	on 25 % kiinteävakuus sekä Älandsbankenilla ja Handelsbankenilla 30% talletusvakuutta siis tarvitset vielä laiallesi takausta 15500€ ( kiinteistö on 70% vakuutena lainalle ja ulkoista vakuutta tarvitsee 30% koska kiinteistön arvo on tuo 95000€ sinulla on rahaa 13000€ siten tarvitset vielä takaajan joka antaisi lainallesi 15500€ talletusvakuuden ) . 
	Nordealta 	( ja monelta muultakin pankilta ) saa ostettua lisätakauksen asuntolainaan jolloin lainan määrä voi olla 95% asunnon hankintahinnasta . 
	Nordea 	, danske invest , op-pohjola sijoitusrahastot ja mikromarkka uutena ovat kuitenkin kaikki lisänneet omistustaan viime aikoina , eli puhutaan kymmenistä miljoonista osakkeista jotka ovat vaihtaneet omistajaa . 
el-taulukkona ( sisältää hallintarekisteröidyt ) Nämä myivät : 2. 	Nordea 	Pankki Suomi Oyj 237586976 12,46% - 6451323 - 2,64% 5. Skandinaviska Enskilda Banken 10729819 0,56% - 2259395 - 17,39% 12.Svenska Handelsbanken Suomi 4247570 0,22% - 560481 - 11,66% 18.Mäki-Turja Seppo Johannes 1764958 0,09% - 285223 - 13,91% 19.Danske Bank Oyj 1764346 0,09% - 193242 - 9,87% http://www.talvivaara.com/sijoittajat/Hallinnointi/Sis%C3%A4piiri-ja-Sis%C3%A4piirirekisteri 24.4.2014 Ruokonen Eeva Katriina Itse Käyttamättöman merkintäoikeuden poisto TLV1VEW307 - 40 000 24.4.2014 Pekkala Pertti Mikael Itse Käyttamättöman merkintäoikeuden poisto TLV1VEW307 - 30 000 
Vai saako esim. 	Nordeasta 	vinkkejä sijoittaa Pohjolan tuotteisiin tai päinvastoin ? 
" Aika paljon sanottu 	Nordean 	puheenjohtajalta . 
kannattaa katsoa Ruotista , siellä paljon paremmat valikoimat , mm. 	Nordean 	verkkopankin kautta . 
Näyttäs 	Nordea 	Finlandin kautta ostetetun puoli miljoonaa osaketta tänään pelkästään . 
	Nordean 	kautta on 600000 lappua myyty . 
Juhopekka Pietilä , Oulu Rupesin kokeilemaan Ruotsin 	Nordea-pankissa 	jos onnistuu myymään ne Talvivaaraosakkeet ja näyttäisi , että homma onkin muuttunut . 
Voiko venäläiset tosta vaan , ihan pokkana napata mun rahasto , tai osake-sijoitukset itselleen , vaikka ne on 	Nordeapankissa 	olemassa ? 
Eiväthän ne 	Nordeaan 	pääse käsiksi , joten rahastot ja osakkeet sinulle voivat jäädäkin . 
Maksu hoituu esim. 	Nordean 	verkkopankin kautta ja kokoja voi kysellä sähköpostitse . 
oj lojl , onko 	Nordean 	klädkod ..... 
Ja Sampoa tai 	Nordeaa 	päin en edes KUSISI ! 
Katso vaikka 	Nordean 	viimeisestä ' Ajassa ' asiakaslehdestä Viroon sijoittamisesta juttu . 
	nordea 	on pankkini , vaikuttaako pankin käyttöön jos ne poistaa . 
	Nordea 	pankki ei taidä käyttää Javaa , joten sen poistaminen käytöstä ei haittaa . 
soitin 	Nordeaan 	, poistivat toisen katevarausen . 
